#Frequency (Hz), B_1re (), B_1im (), B_1dB (dB), B_1Ph (rad), Power (dBm)
8.4448000000e+09, -1.8325370000e-04, 1.2960480000e-04, -7.2977476751e+01, 2.5260224894e+00, -2.0000000000e+01
8.4449000000e+09, -3.4153200000e-05, 1.6973470000e-04, -7.5232218365e+01, 1.7693600656e+00, -2.0000000000e+01
8.4450000000e+09, -7.7845380000e-05, 1.9635150000e-04, -7.3505306405e+01, 1.9482466623e+00, -2.0000000000e+01
8.4451000000e+09, 2.4456910000e-04, 4.0917990000e-05, -7.2112073262e+01, 1.6577111300e-01, -2.0000000000e+01
8.4452000000e+09, -5.4659070000e-05, 2.2525680000e-04, -7.2697973866e+01, 1.8088475972e+00, -2.0000000000e+01
8.4453000000e+09, 4.0751490000e-06, 2.7798970000e-05, -9.1027086148e+01, 1.4252395485e+00, -2.0000000000e+01
8.4454000000e+09, 5.2513680000e-05, 1.3304390000e-04, -7.6891290580e+01, 1.1948591024e+00, -2.0000000000e+01
8.4455000000e+09, -4.9809240000e-05, -1.2473260000e-06, -8.6051079068e+01, 3.1666294814e+00, -2.0000000000e+01
8.4456000000e+09, 4.0318010000e-05, -4.6863650000e-05, -8.4177384506e+01, 5.4228472768e+00, -2.0000000000e+01
8.4457000000e+09, -7.0982580000e-05, 4.8532880000e-05, -8.1311224859e+01, 2.5418701938e+00, -2.0000000000e+01
8.4458000000e+09, 9.5372070000e-05, 5.4673440000e-05, -7.9177527423e+01, 5.2052916924e-01, -2.0000000000e+01
8.4459000000e+09, -3.8740310000e-06, -8.0570820000e-06, -1.0097319058e+02, -2.0189850420e+00, -2.0000000000e+01
8.4460000000e+09, 4.7855290000e-05, 1.0853470000e-04, -7.8517086841e+01, -5.1276676829e+00, -2.0000000000e+01
8.4461000000e+09, 2.8270050000e-06, -4.6640560000e-05, -8.6608798630e+01, -7.7934431117e+00, -2.0000000000e+01
8.4462000000e+09, 2.9740490000e-05, 1.3088770000e-04, -7.7443395355e+01, -4.9358168006e+00, -2.0000000000e+01
8.4463000000e+09, 2.9378410000e-06, 6.7412150000e-05, -8.3416995952e+01, -4.7559417113e+00, -2.0000000000e+01
8.4464000000e+09, 8.6046480000e-05, 6.5753900000e-05, -7.9307918889e+01, -5.6306786584e+00, -2.0000000000e+01
8.4465000000e+09, 7.2004990000e-05, 1.0300880000e-04, -7.8014657571e+01, -5.3224554801e+00, -2.0000000000e+01
8.4466000000e+09, 1.8451260000e-04, 6.7557880000e-05, -7.4133118212e+01, -5.9322027562e+00, -2.0000000000e+01
8.4467000000e+09, 7.3453100000e-05, 4.2749100000e-05, -8.1412917980e+01, -5.7561123991e+00, -2.0000000000e+01
8.4468000000e+09, 2.1006120000e-04, 1.9022050000e-05, -7.3517615486e+01, -6.1928768179e+00, -2.0000000000e+01
8.4469000000e+09, 7.9000610000e-05, 6.2330340000e-05, -7.9945548860e+01, -5.6151966683e+00, -2.0000000000e+01
8.4470000000e+09, 1.1485760000e-04, 3.6340530000e-05, -7.8382457254e+01, -5.9767546509e+00, -2.0000000000e+01
8.4471000000e+09, 2.2240090000e-04, -1.8679940000e-04, -7.0738831149e+01, -6.9817993754e+00, -2.0000000000e+01
8.4472000000e+09, 2.1351630000e-04, -5.5651090000e-05, -7.3125936379e+01, -6.5381536317e+00, -2.0000000000e+01
8.4473000000e+09, 1.7014120000e-04, -3.8853290000e-05, -7.5163042345e+01, -6.5076946727e+00, -2.0000000000e+01
8.4474000000e+09, 1.4910800000e-04, 8.6741550000e-06, -7.6515308639e+01, -6.2250771582e+00, -2.0000000000e+01
8.4475000000e+09, 2.2479500000e-04, 3.2509380000e-05, -7.2874374032e+01, -6.1395631412e+00, -2.0000000000e+01
8.4476000000e+09, 2.3331930000e-04, 1.1889630000e-04, -7.1638390862e+01, -5.8118981655e+00, -2.0000000000e+01
8.4477000000e+09, 1.8525650000e-04, -5.4746400000e-05, -7.4280916586e+01, -6.5705239760e+00, -2.0000000000e+01
8.4478000000e+09, 1.7465630000e-04, -7.9740430000e-05, -7.4334050907e+01, -6.7114780405e+00, -2.0000000000e+01
8.4479000000e+09, 8.3748360000e-05, 1.3933800000e-04, -7.5779214702e+01, -5.2535762546e+00, -2.0000000000e+01
8.4480000000e+09, 2.4155780000e-04, 9.5566620000e-05, -7.1708046561e+01, -5.9064550334e+00, -2.0000000000e+01
8.4481000000e+09, 1.7520630000e-04, 6.0885310000e-05, -7.4633876712e+01, -5.9487336855e+00, -2.0000000000e+01
8.4482000000e+09, 1.3004350000e-04, -6.1635920000e-05, -7.6838136410e+01, -6.7257879118e+00, -2.0000000000e+01
8.4483000000e+09, 1.3436970000e-04, -2.3119710000e-05, -7.7307267481e+01, -6.4535773481e+00, -2.0000000000e+01
8.4484000000e+09, 1.1792070000e-04, -1.1105630000e-04, -7.5810561424e+01, -7.0386138897e+00, -2.0000000000e+01
8.4485000000e+09, 9.8026890000e-05, -1.0472900000e-04, -7.6866087698e+01, -7.1016265087e+00, -2.0000000000e+01
8.4486000000e+09, 5.1745160000e-05, -1.0279440000e-04, -7.8779726217e+01, -7.3876296858e+00, -2.0000000000e+01
8.4487000000e+09, 1.8106080000e-04, 1.8398400000e-05, -7.4798898141e+01, -6.1819184112e+00, -2.0000000000e+01
8.4488000000e+09, 1.8344630000e-04, -1.0265670000e-04, -7.3546667305e+01, -6.7933696953e+00, -2.0000000000e+01
8.4489000000e+09, 1.7097910000e-04, -6.4645530000e-05, -7.4760858657e+01, -6.6446624780e+00, -2.0000000000e+01
8.4490000000e+09, 1.7149710000e-04, -1.7032390000e-04, -7.2334273989e+01, -7.0651512783e+00, -2.0000000000e+01
8.4491000000e+09, 1.3247480000e-04, -8.2051390000e-05, -7.6147154873e+01, -6.8377284165e+00, -2.0000000000e+01
8.4492000000e+09, 2.1059820000e-04, -2.5950740000e-04, -6.9519635750e+01, -7.1722492679e+00, -2.0000000000e+01
8.4493000000e+09, 4.9535830000e-05, -5.6655700000e-06, -8.6045168458e+01, -6.3970636435e+00, -2.0000000000e+01
8.4494000000e+09, 1.7407460000e-04, -1.7622710000e-04, -7.2121291083e+01, -7.0747280965e+00, -2.0000000000e+01
8.4495000000e+09, 1.7130040000e-04, -2.1279010000e-04, -7.1271246550e+01, -7.1761868788e+00, -2.0000000000e+01
8.4496000000e+09, 8.2624140000e-05, -2.1897940000e-04, -7.2613880714e+01, -7.4931832100e+00, -2.0000000000e+01
8.4497000000e+09, 5.2975100000e-05, -2.1186820000e-04, -7.3215317417e+01, -7.6089672109e+00, -2.0000000000e+01
8.4498000000e+09, 1.2750210000e-04, -3.9066310000e-04, -6.7724360699e+01, -7.5385079144e+00, -2.0000000000e+01
8.4499000000e+09, 6.3386400000e-05, -3.4040750000e-04, -6.9211985594e+01, -7.6698826634e+00, -2.0000000000e+01
8.4500000000e+09, -1.3631650000e-04, -2.2563270000e-04, -7.1580632924e+01, -8.3974486561e+00, -2.0000000000e+01
8.4501000000e+09, -2.2295390000e-06, -4.4072970000e-04, -6.7116442505e+01, -7.8590403354e+00, -2.0000000000e+01
8.4502000000e+09, -1.0677940000e-04, -2.4603150000e-04, -7.1430697786e+01, -8.2634565123e+00, -2.0000000000e+01
8.4503000000e+09, -9.2686800000e-05, -1.8979740000e-04, -7.3505298500e+01, -8.3082626476e+00, -2.0000000000e+01
8.4504000000e+09, -1.6470400000e-04, -3.7998090000e-04, -6.7657032301e+01, -8.2629905147e+00, -2.0000000000e+01
8.4505000000e+09, -1.5818850000e-04, -3.4120030000e-04, -6.8494239257e+01, -8.2881069854e+00, -2.0000000000e+01
8.4506000000e+09, 2.3898910000e-07, -4.2699260000e-04, -6.7391591669e+01, -7.8534219309e+00, -2.0000000000e+01
8.4507000000e+09, -1.5049160000e-04, -4.2604470000e-04, -6.6900254968e+01, -8.1935307024e+00, -2.0000000000e+01
8.4508000000e+09, -2.1814580000e-04, -2.0577510000e-04, -7.0460906651e+01, -8.6685531415e+00, -2.0000000000e+01
8.4509000000e+09, -2.6255350000e-04, -3.3971450000e-04, -6.7343797528e+01, -8.5119565665e+00, -2.0000000000e+01
8.4510000000e+09, -3.5662650000e-04, -3.0711580000e-04, -6.6546212205e+01, -8.7138351650e+00, -2.0000000000e+01
8.4511000000e+09, -2.7028630000e-04, -1.0447190000e-04, -7.0758806989e+01, -9.0559433096e+00, -2.0000000000e+01
8.4512000000e+09, -3.4609100000e-04, -1.4763320000e-04, -6.8490148346e+01, -9.0215754202e+00, -2.0000000000e+01
8.4513000000e+09, -3.4267620000e-04, -8.9250080000e-05, -6.9017282489e+01, -9.1699882681e+00, -2.0000000000e+01
8.4514000000e+09, -3.5367300000e-04, -2.0704850000e-05, -6.9013103150e+01, -9.3663023484e+00, -2.0000000000e+01
8.4515000000e+09, -3.2431100000e-04, -1.4233670000e-04, -6.9015730918e+01, -9.0112018266e+00, -2.0000000000e+01
8.4516000000e+09, -3.5300660000e-04, -1.4350990000e-04, -6.8380072100e+01, -9.0386498090e+00, -2.0000000000e+01
8.4517000000e+09, -4.2384230000e-04, 2.8509620000e-05, -6.7436308546e+01, -9.4919414759e+00, -2.0000000000e+01
8.4518000000e+09, -4.2871200000e-04, -5.7761610000e-05, -6.7278556946e+01, -9.2908515637e+00, -2.0000000000e+01
8.4519000000e+09, -4.4916680000e-04, 2.5574140000e-05, -6.6937790834e+01, -9.4816533981e+00, -2.0000000000e+01
8.4520000000e+09, -3.3179030000e-04, 1.0732460000e-04, -6.9150543788e+01, -9.7376264740e+00, -2.0000000000e+01
8.4521000000e+09, -4.3246050000e-04, 1.9919700000e-04, -6.6445455510e+01, -9.8564226631e+00, -2.0000000000e+01
8.4522000000e+09, -2.8655680000e-04, 6.4843620000e-05, -7.0638911107e+01, -9.6473155277e+00, -2.0000000000e+01
8.4523000000e+09, -2.4081450000e-04, 2.1279140000e-04, -6.9860182393e+01, -1.0148476022e+01, -2.0000000000e+01
8.4524000000e+09, -2.5326990000e-04, 2.3982080000e-04, -6.9148534074e+01, -1.0182907781e+01, -2.0000000000e+01
8.4525000000e+09, -2.1748930000e-04, 1.1075120000e-04, -7.2249911812e+01, -9.8957790763e+00, -2.0000000000e+01
8.4526000000e+09, -1.5908710000e-04, 1.9652210000e-04, -7.1942977332e+01, -1.0315059884e+01, -2.0000000000e+01
8.4527000000e+09, -1.5978810000e-04, 1.3918860000e-04, -7.3476984977e+01, -1.0141384824e+01, -2.0000000000e+01
8.4528000000e+09, -1.9957410000e-04, 1.8154430000e-04, -7.1379392932e+01, -1.0162903760e+01, -2.0000000000e+01
8.4529000000e+09, -2.8592500000e-04, 9.3396270000e-05, -7.0434667575e+01, -9.7404979288e+00, -2.0000000000e+01
8.4530000000e+09, -1.4901190000e-04, 1.7039140000e-04, -7.2904097332e+01, -1.0277012178e+01, -2.0000000000e+01
8.4531000000e+09, -5.3201660000e-05, 1.4887760000e-04, -7.6021476163e+01, -1.0652365162e+01, -2.0000000000e+01
8.4532000000e+09, -1.4827700000e-04, 2.4919350000e-04, -7.0752893782e+01, -1.0458819016e+01, -2.0000000000e+01
8.4533000000e+09, -1.1844050000e-04, 2.8379050000e-04, -7.0242686549e+01, -1.0600199456e+01, -2.0000000000e+01
8.4534000000e+09, -1.4615530000e-05, 2.4481850000e-04, -7.2207664502e+01, -1.0935945609e+01, -2.0000000000e+01
8.4535000000e+09, -9.0904710000e-05, 2.5457950000e-04, -7.1362348125e+01, -1.0652607969e+01, -2.0000000000e+01
8.4536000000e+09, -5.5104880000e-05, 1.1685350000e-04, -7.7775101424e+01, -1.0554926316e+01, -2.0000000000e+01
8.4537000000e+09, -3.7555480000e-05, 2.0311220000e-04, -7.3699284550e+01, -1.0812739051e+01, -2.0000000000e+01
8.4538000000e+09, -1.1367150000e-04, 1.0136100000e-04, -7.6346007132e+01, -1.0152989061e+01, -2.0000000000e+01
8.4539000000e+09, 4.4971540000e-05, 2.2628010000e-04, -7.2738833257e+01, -1.1191760707e+01, -2.0000000000e+01
8.4540000000e+09, -2.2319830000e-06, 1.4401960000e-04, -7.6830525025e+01, -1.0980077756e+01, -2.0000000000e+01
8.4541000000e+09, -2.1730370000e-05, 1.7023900000e-04, -7.5308627051e+01, -1.0868614609e+01, -2.0000000000e+01
8.4542000000e+09, 5.5410920000e-05, 3.1352550000e-04, -6.9940965121e+01, -1.1170502873e+01, -2.0000000000e+01
8.4543000000e+09, 1.7457790000e-04, 1.2916720000e-04, -7.3264113892e+01, -1.1929375966e+01, -2.0000000000e+01
8.4544000000e+09, 4.0100180000e-05, -2.0413500000e-05, -8.6936317200e+01, -1.3037241953e+01, -2.0000000000e+01
8.4545000000e+09, 6.5799400000e-05, 2.0966260000e-04, -7.3161610798e+01, -1.1299674652e+01, -2.0000000000e+01
8.4546000000e+09, 1.5082390000e-04, 3.7553040000e-05, -7.6169375916e+01, -1.2322346529e+01, -2.0000000000e+01
8.4547000000e+09, 7.2166290000e-05, 4.0462190000e-05, -8.1646162545e+01, -1.2055364839e+01, -2.0000000000e+01
8.4548000000e+09, 1.5955430000e-04, 6.2191580000e-05, -7.5327565401e+01, -1.2194702763e+01, -2.0000000000e+01
8.4549000000e+09, 1.8163590000e-05, 8.7448270000e-05, -8.0981540965e+01, -1.1200369017e+01, -2.0000000000e+01
8.4550000000e+09, 1.4927190000e-04, 2.5885240000e-04, -7.0492133978e+01, -1.1518661222e+01, -2.0000000000e+01
8.4551000000e+09, 1.6658660000e-04, 4.9180340000e-05, -7.5204275524e+01, -1.2279301334e+01, -2.0000000000e+01
8.4552000000e+09, 1.1615330000e-04, -1.8764510000e-05, -7.8587479481e+01, -1.2726536354e+01, -2.0000000000e+01
8.4553000000e+09, 1.2977510000e-04, 7.5910870000e-05, -7.6458139950e+01, -1.2037096967e+01, -2.0000000000e+01
8.4554000000e+09, 4.1684370000e-06, 1.2248490000e-04, -7.8233321898e+01, -1.1029593410e+01, -2.0000000000e+01
8.4555000000e+09, -2.0816360000e-05, 8.1554040000e-05, -8.1496980117e+01, -1.0745664138e+01, -2.0000000000e+01
8.4556000000e+09, 4.8115990000e-05, 7.9212280000e-06, -8.6238074456e+01, -1.2403206385e+01, -2.0000000000e+01
8.4557000000e+09, 1.7684470000e-05, 1.9791460000e-04, -7.4035906330e+01, -1.1084691660e+01, -2.0000000000e+01
8.4558000000e+09, 1.6024670000e-04, 3.6950330000e-05, -7.5679237453e+01, -1.2339747609e+01, -2.0000000000e+01
8.4559000000e+09, 1.4725490000e-04, 1.9619890000e-05, -7.6562184147e+01, -1.2433913141e+01, -2.0000000000e+01
8.4560000000e+09, 3.3447480000e-05, 1.7734720000e-04, -7.4871720640e+01, -1.1181983568e+01, -2.0000000000e+01
8.4561000000e+09, 2.2121750000e-04, -7.8429720000e-05, -7.2589398153e+01, -1.2907081297e+01, -2.0000000000e+01
8.4562000000e+09, 9.1557170000e-05, 1.3131070000e-04, -7.5913324768e+01, -1.1604456249e+01, -2.0000000000e+01
8.4563000000e+09, 1.0267110000e-04, 1.6236280000e-04, -7.4329379314e+01, -1.1559445872e+01, -2.0000000000e+01
8.4564000000e+09, 4.8543460000e-05, -3.4673760000e-07, -8.6277163868e+01, -1.2573513321e+01, -2.0000000000e+01
8.4565000000e+09, -1.2913700000e-05, 6.9703800000e-05, -8.2988308007e+01, -1.0812385949e+01, -2.0000000000e+01
8.4566000000e+09, 1.2598390000e-04, 4.1275190000e-05, -7.7550902263e+01, -1.2249768372e+01, -2.0000000000e+01
8.4567000000e+09, -1.2296960000e-05, 1.2622970000e-04, -7.7935748203e+01, -1.0898463385e+01, -2.0000000000e+01
8.4568000000e+09, 8.1494070000e-05, 1.3811120000e-04, -7.5897968023e+01, -1.1528653845e+01, -2.0000000000e+01
8.4569000000e+09, 2.0856860000e-05, -7.8596890000e-06, -9.3038329943e+01, -1.2926753034e+01, -2.0000000000e+01
8.4570000000e+09, 1.6568220000e-04, 4.1726350000e-05, -7.5347409151e+01, -1.2319655576e+01, -2.0000000000e+01
8.4571000000e+09, 9.8373430000e-05, -1.1141640000e-04, -7.6557856875e+01, -1.3413860462e+01, -2.0000000000e+01
8.4572000000e+09, 4.3051600000e-06, 1.4092540000e-04, -7.7016163294e+01, -1.1026114002e+01, -2.0000000000e+01
8.4573000000e+09, 2.8317950000e-05, 5.9187530000e-05, -8.3660197826e+01, -1.1441829298e+01, -2.0000000000e+01
8.4574000000e+09, 9.3188890000e-05, -1.4792410000e-04, -7.5147655319e+01, -1.3574996134e+01, -2.0000000000e+01
8.4575000000e+09, 6.3632600000e-05, 2.3910440000e-05, -8.3352812378e+01, -1.2206935817e+01, -2.0000000000e+01
8.4576000000e+09, 4.4020090000e-06, 4.2976960000e-05, -8.7289960249e+01, -1.1097645511e+01, -2.0000000000e+01
8.4577000000e+09, 1.4975190000e-04, 1.8927780000e-04, -7.2346912681e+01, -1.1664911039e+01, -2.0000000000e+01
8.4578000000e+09, 1.7843650000e-04, -5.7429270000e-05, -7.4542266004e+01, -1.2877748185e+01, -2.0000000000e+01
8.4579000000e+09, 2.6466670000e-05, -2.6617560000e-05, -8.8510954424e+01, -1.3354611234e+01, -2.0000000000e+01
8.4580000000e+09, 5.2851940000e-05, 4.3455310000e-05, -8.3295972048e+01, -1.1878233885e+01, -2.0000000000e+01
8.4581000000e+09, -1.5979870000e-05, -7.9004280000e-05, -8.1872849605e+01, -1.4336740277e+01, -2.0000000000e+01
8.4582000000e+09, 9.6229590000e-05, 8.4226550000e-05, -7.7863694814e+01, -1.1847389617e+01, -2.0000000000e+01
8.4583000000e+09, 5.4414680000e-05, -1.8111120000e-05, -8.4829400790e+01, -1.2887672767e+01, -2.0000000000e+01
8.4584000000e+09, 9.9141700000e-05, -1.3218400000e-05, -7.9998348789e+01, -1.2698917258e+01, -2.0000000000e+01
8.4585000000e+09, 8.7131720000e-05, -1.2437670000e-05, -8.1108870596e+01, -1.2708158359e+01, -2.0000000000e+01
8.4586000000e+09, -8.4230950000e-05, -1.0911900000e-05, -8.1418285277e+01, -1.5579133374e+01, -2.0000000000e+01
8.4587000000e+09, 3.3319700000e-05, -9.9454910000e-05, -7.9585488260e+01, -1.3813896298e+01, -2.0000000000e+01
8.4588000000e+09, -2.0205420000e-05, -1.5103760000e-04, -7.6341262707e+01, -1.4270154775e+01, -2.0000000000e+01
8.4589000000e+09, -5.9755870000e-06, -1.1976030000e-04, -7.8422943592e+01, -1.4187021821e+01, -2.0000000000e+01
8.4590000000e+09, 9.5996000000e-05, 7.5929940000e-05, -7.8244711456e+01, -1.1897160178e+01, -2.0000000000e+01
8.4591000000e+09, 4.8503100000e-05, 6.8179750000e-05, -8.1548381222e+01, -1.1613910605e+01, -2.0000000000e+01
8.4592000000e+09, -5.9826090000e-05, 3.2690160000e-05, -8.3327518577e+01, -9.9248683012e+00, -2.0000000000e+01
8.4593000000e+09, -3.6978150000e-05, -1.2858220000e-04, -7.7471283910e+01, -8.1340088018e+00, -2.0000000000e+01
8.4594000000e+09, 8.8643510000e-05, -1.5636110000e-04, -7.4907105541e+01, -7.3382443976e+00, -2.0000000000e+01
8.4595000000e+09, -1.5041270000e-05, 6.5883840000e-07, -9.6445985382e+01, -9.4685520258e+00, -2.0000000000e+01
8.4596000000e+09, 6.1257310000e-06, -8.3186980000e-05, -8.1575406539e+01, -7.7804762070e+00, -2.0000000000e+01
8.4597000000e+09, -2.7835640000e-05, -1.6939680000e-04, -7.5306184096e+01, -8.0168482597e+00, -2.0000000000e+01
8.4598000000e+09, 2.1743540000e-05, -1.4134380000e-05, -9.1722675258e+01, -6.8595954120e+00, -2.0000000000e+01
8.4599000000e+09, 7.9308940000e-07, -2.1410980000e-04, -7.3387209497e+01, -7.8502775262e+00, -2.0000000000e+01
8.4600000000e+09, -4.3382040000e-05, -5.3529580000e-05, -8.3235425892e+01, -8.5350507589e+00, -2.0000000000e+01

8.4400000000e+09, -7.6782770000e-05, -6.5234750000e-05, -7.9934840541e+01, -2.4373300343e+00, -2.0000000000e+01
8.4401000000e+09, 1.0243220000e-04, -1.1348700000e-05, -7.9738285154e+01, -1.1034229633e-01, -2.0000000000e+01
8.4402000000e+09, -2.9403550000e-06, -1.0121110000e-04, -7.9891773195e+01, -1.5998398625e+00, -2.0000000000e+01
8.4403000000e+09, -1.0496480000e-04, -1.1714640000e-05, -7.9525365756e+01, -3.0304471838e+00, -2.0000000000e+01
8.4404000000e+09, -7.5423860000e-05, 7.1175750000e-05, -7.9683998403e+01, -3.8980212887e+00, -2.0000000000e+01
8.4405000000e+09, 6.9162720000e-05, 7.4679650000e-05, -7.9846179452e+01, -5.4594519356e+00, -2.0000000000e+01
8.4406000000e+09, -9.9696080000e-05, 1.2414750000e-05, -7.9959610359e+01, -3.2654808732e+00, -2.0000000000e+01
8.4407000000e+09, 1.0269650000e-04, 1.5004740000e-05, -7.9677152129e+01, -6.1381042561e+00, -2.0000000000e+01
8.4408000000e+09, 1.6452090000e-05, 1.0296410000e-04, -7.9636794852e+01, -4.8708343302e+00, -2.0000000000e+01
8.4409000000e+09, -7.9153820000e-05, 6.4135830000e-05, -7.9838557060e+01, -3.8225634595e+00, -2.0000000000e+01
8.4410000000e+09, -7.1169550000e-05, -7.6789180000e-05, -7.9601227609e+01, -2.3182316737e+00, -2.0000000000e+01
8.4411000000e+09, -9.5352750000e-05, 4.6935500000e-05, -7.9471103776e+01, -3.5990050978e+00, -2.0000000000e+01
